github.com/AlDanial/cloc v 2.06  T=6.76 s (234.9 files/s, 27163.4 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                    blank        comment           code
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Enums\ActorValue.cs                                                                                                 1              0            160
.\MunitionAutoPatcher\Services\Helpers\ReverseMapBuilder.cs                                                                                                23             36            159
.\MunitionAutoPatcher\Services\Implementations\EspPatchService.cs                                                                                          24             10            157
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\ImmutableLoadOrderLinkUsageCache.cs                                            27              0            157
.\mutagen-tmp\Mutagen.Bethesda.Core\Assets\DataRelativePath.cs                                                                                             32              4            156
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Headers\GroupHeader.cs                                                                                  94            280            156
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\LoquiBinaryTranslation.cs                                                                  11              0            156
.\mutagen-tmp\Mutagen.Bethesda.Core\Strings\StringsWriter.cs                                                                                               11             10            156
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Order\PluginListings.cs                                                                                        13             26            154
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\ILinkCache.cs                                                                                            87           1294            153
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Cell.xml                                                                                      0              0            153
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Aspects\IKeyworded.cs                                                                                          16            136            151
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Enums\BipedObject.cs                                                                                               12             33            151
.\mutagen-tmp\Mutagen.Bethesda.Core\Extensions\LoadOrderExt.cs                                                                                             25             63            149
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Climate.cs                                                                                   19              0            148
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\ColorBinaryTranslation.cs                                                                  12              0            147
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\VirtualMachineAdapter.xml                                                                 0              0            147
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Region.cs                                                                                    20              0            146
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\Internal\ImmutableModLinkCacheCategory.cs                                      10              4            142
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\ColorRecord.cs                                                                               15              2            142
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Perk.xml                                                                                      0              0            141
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Analysis\DI\MultiModFileSplitter.cs                                                                            30             23            140
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\FormLinkNullable.cs                                                                                            35             92            140
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Fallout4Mod.xml                                                                                             0              0            140
.\omodExtractorRefactorPlan_prompt.md                                                                                                                       7              0            140
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\APlacedTrap.cs                                                                                7              0            139
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Allocators\TextFileFormKeyAllocator.cs                                                                         17             12            135
.\mutagen-tmp\Mutagen.Bethesda.Core\Environments\DI\GameEnvironmentProvider.cs                                                                             16              0            134
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\DataTypes\DebugInfo.cs                                                                                             26              2            134
.\mutagen-tmp\Mutagen.Bethesda.Core\Strings\DI\StringsFolderLookupFactory.cs                                                                                8              0            134
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Weapon.xml                                                                                    0              0            134
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\FormLink.cs                                                                                                    35             79            133
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\DI\IArchiveListingDetailsProvider.cs                                                                          19              0            132
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\EDIDLink.cs                                                                                                    21             46            132
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Water.cs                                                                                     11              0            132
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Records\Mapping\MetaInterfaceMapping.cs                                                                        12              0            131
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Analysis\DI\RecordCompactionCompatibilityDetector.cs                                                           26              0            130
.\tests\LinkCacheHelperTests\TestResults\TestResults_step3_added-tests.trx                                                                                  0              0            130
.\tests\LinkCacheHelperTests\TestResults\TestResults_step4_partA.trx                                                                                        0              0            130
.\tests\LinkCacheHelperTests\TestResults\TestResults_step4_partB.trx                                                                                        0              0            130
.\mutagen-tmp\DEVELOPMENT.md                                                                                                                               65              0            129
.\mutagen-tmp\Mutagen.Bethesda.Core\Archives\Bsa\BsaReader.cs                                                                                              30              1            129
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\APackageTarget.cs                                                                             7              0            129
.\artifacts\archive\cleanup-mutagen-explained.ps1                                                                                                          23             10            127
.\mutagen-tmp\Mutagen.Bethesda.Core\Translations\Binary\ListBinaryTranslation.cs                                                                           10              0            127
.\mutagen-tmp\Mutagen.Bethesda.Core\Strings\StringsFolderLookupOverlay.cs                                                                                  19              2            124
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\MagicEffect.xml                                                                               0              1            124
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\Worldspace.xml                                                                                0              0            123
.\MunitionAutoPatcher\ViewModels\MainViewModel.cs                                                                                                          16             16            122
.\mutagen-tmp\Mutagen.Bethesda.Core\Pex\DataTypes\PexFile.cs                                                                                               24              1            122
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\LocationTargetRadius.cs                                                                   8              0            122
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Extensions\LocationExt.cs                                                                                          16              0            121
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Analysis\RecordLocatorResults.cs                                                                               21              0            120
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Internals\RecordCollection.cs                                                                                  35              0            120
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\QuestAdapter.cs                                                                              14              0            120
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Major Records\AudioEffectChain.cs                                                                          12              0            119
